Comment,
I am very happy with my Team. We work very well together!,
I like all of my teammates. We are all good at different things which helps us to solve problems more quickly by bringing different skill sets to the table.,
Good team,
Andrew more often than not does not show up to the times we set to work on the hovercraft leaving Miguel and myself with all of the work. He tries to make up for it by doing a lot of the writing but sometimes he has the hovercraft making it impossible for anyone to do any work on it.,
"Great team, great guys.",
Good team that works very well together,
Things are going much better.,
The boys (Matthew and Nicholas) in my team have not been making the project a priority and it&#39;s frustrating for the rest of us (me and Sophia).,
"I feel like I&#39;m doing a majority of the work and just giving them small things to work on.  They don&#39;t take initiative and I always have to be the one that know what we have to do and how to do it.  I think this class would be much better suited for a 3rd or 4th year course, so people are less likely to drop out and are more motivated to do the assignments.  We had 2/5 group members drop the class, and my other 2 teammates are not the best.  The project itself is fun and I&#39;ve learned a lot of useful skills that will help me in the future, but it would be a lot better if we could have chosen our teams, so I could be in a group with more motivated people.",
"Neither of my teammates are too problematic or anything, however Ethan in particular is getting a bit... annoying. He does his work and he&#39;s contributed a ton to the project, however I&#39;m not very fond of him. I hate talking bad about my teammates but that&#39;s probably the one issue that I have with him in particular. Kristian is 100% ok. In fact, I like him a lot. But going back to Ethan. Today he blamed me for an issue that I had absolutely no control over and dumped all responsibility/blame onto me. He hasn&#39;t contributed anything outside of meeting times/labs (ex. ordering things, getting things from stores) other than holding the components. And the last thing I have to say is that he always asks me to do trivial tasks for him. There has not been one time this semester (I&#39;m not exaggerating) where he&#39;s rented out tools or asked for help himself. I&#39;ve had to ask for help/call over a TA every single time when he&#39;s the one who needs it every single time. &quot;Can you ask a TA for this-and-this.&quot; Every. Single. Time. Even when it&#39;s a tiny thing like asking for another stick of glue for the hot glue gun. He asked me to do it and I told him to get it himself (I was working on something else). He ended up just dropping the topic and waited for me to get it myself because we needed it to move on. I hope that this isn&#39;t openly stated as I don&#39;t want to ruin the team. In fact, if someone important is reading this, I beg of you to not openly go about this. I just thought I&#39;d share a few of my recent issues with him. Again, he&#39;s not problematic (as much as I made him seem like it), he just gets on my nerves. Perhaps I&#39;m talking a bit out of anger here due to the incident that happened today, but what I say is honest and I mean it.",
"When there is a slight problem my teammate Ethan Brown gets angry really fast, not particularly at us but with the problem itself. He has a short fuse, its really intimidating and it disturbs our thinking.",
Fantastic team!,
We are all getting along nicely!,
My team and I get along just fine and I don&#39;t feel that there are any problems between members.,
We all still seem to work together well and I am satisfied with the amount of work we are able to get done.,
I like all my teammatea and do not have anything bad to say about any of them.,
Nah fam,
Justin is especially helpful and does a great job at coordinating and leading the team.,
Hi :),
"One hiccup with team: Had problem turning in CO11 Report due to teammates not completing certain areas of it in time, was almost late.",
"It seems like Sean and I do a lot of the work sometimes. Everyone tries to get involved, but it never works out as Conor and Greg get distracted easily. When they have jobs to do they do them great when they&#39;re on time and decide to show up. Sean and I aren&#39;t perfect either, it just appears as we care more. I don&#39;t want to be harsh with them, I just want things to either change or be graded fairly as such.",
"Conor and Greg are very inconsistent about meeting times, as well as trying to changing times last minute.",
No comment.,
My teammates and I are building our hovercraft on time and as a team. ,
Everything is going well!! ,
Couldn&#39;t have asked for a better team :),
"Some team mates work much harder than others, but the teammates that do lots of work need to leave work for others.",
Very happy with my group and the way our project has turned out. However I believe that Skylar and Thomas have done an amazing job in particular ,
Scott is no longer part of the team as he has transferred to a different school,
"Our team-mate Scott may not be able to complete this semester unfortunately. Look to him for more details but he has told us he is moving within the week. We will do our best to complete the project with 3, It shouldn&#39;t be an issue as we are a good team and in a good spot. Scott has done a good bit of work for us and if it is true that he is leaving, he will be missed.",
"Scott is no longer in our group because he had to move to Texas. While he was here, he did everything he could to help the team out before he left.",
The only real issue is Chris coming late or leaving early on a regular basis. He agreed to the time we meet each day but seems to always have an excuse. Although he normally stays for at least an hour of our 2 hour meeting.,
"I sometimes feel like I&#39;m the only one with initiative, and that I&#39;m the only one who does things outside of regular meeting times. This makes it difficult for us to complete assignments on time because we can&#39;t accomplish everything at our meetings, and I&#39;m always stuck doing extra work.",
"Chris has made our team inefficient and tiresome. Every idea seems to become an argument instead of a discussion making the team members hate working and meeting for this project. However, we have been able and willing to push through these conflicts to create something great. ",
None.,
Things have dramatically improved since the last peer evaluation. Our team has no current issues.,
